fn,L,rho0,kd,rhocr,ap,nu1,gamma,kp,zetap,zetap2,zetarho,ar,xi,M,seed,dx,dz,dtmin,t_fin,t_prin,t_check
134,10.0,0.5,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,20.0,26.666666666666668,1.0,0.0001,1.0,0.01,0.01,0.01,100000,1000,1
135,10.0,0.6,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,20.0,26.666666666666668,1.0,0.0001,1.0,0.01,0.01,0.01,100000,1000,1
136,10.0,0.7,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,20.0,26.666666666666668,1.0,0.0001,1.0,0.01,0.01,0.01,100000,1000,1
137,10.0,0.8,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,20.0,26.666666666666668,1.0,0.0001,1.0,0.01,0.01,0.01,100000,1000,1
138,10.0,0.9,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,20.0,26.666666666666668,1.0,0.0001,1.0,0.01,0.01,0.01,100000,1000,1
139,10.0,1.0,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,20.0,26.666666666666668,1.0,0.0001,1.0,0.01,0.01,0.01,100000,1000,1
140,10.0,1.1,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,20.0,26.666666666666668,1.0,0.0001,1.0,0.01,0.01,0.01,100000,1000,1
141,10.0,1.2,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,20.0,26.666666666666668,1.0,0.0001,1.0,0.01,0.01,0.01,100000,1000,1
142,10.0,1.3,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,20.0,26.666666666666668,1.0,0.0001,1.0,0.01,0.01,0.01,100000,1000,1
143,10.0,1.4,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,20.0,26.666666666666668,1.0,0.0001,1.0,0.01,0.01,0.01,100000,1000,1
144,10.0,1.5,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,20.0,26.666666666666668,1.0,0.0001,1.0,0.01,0.01,0.01,100000,1000,1
145,10.0,0.4,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,22.0,29.333333333333332,1.0,0.0001,1.0,0.01,0.01,0.01,100000,1000,1
146,10.0,0.5,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,22.0,29.333333333333332,1.0,0.0001,1.0,0.01,0.01,0.01,100000,1000,1
147,10.0,0.6,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,22.0,29.333333333333332,1.0,0.0001,1.0,0.01,0.01,0.01,100000,1000,1
148,10.0,0.7,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,22.0,29.333333333333332,1.0,0.0001,1.0,0.01,0.01,0.01,100000,1000,1
149,10.0,0.8,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,22.0,29.333333333333332,1.0,0.0001,1.0,0.01,0.01,0.01,100000,1000,1
150,10.0,0.9,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,22.0,29.333333333333332,1.0,0.0001,1.0,0.01,0.01,0.01,100000,1000,1
151,10.0,1.0,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,22.0,29.333333333333332,1.0,0.0001,1.0,0.01,0.01,0.01,100000,1000,1
152,10.0,1.1,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,22.0,29.333333333333332,1.0,0.0001,1.0,0.01,0.01,0.01,100000,1000,1
153,10.0,1.2,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,22.0,29.333333333333332,1.0,0.0001,1.0,0.01,0.01,0.01,100000,1000,1
154,10.0,1.3,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,22.0,29.333333333333332,1.0,0.0001,1.0,0.01,0.01,0.01,100000,1000,1
155,10.0,1.4,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,22.0,29.333333333333332,1.0,0.0001,1.0,0.01,0.01,0.01,100000,1000,1
