x,ya,yb,yc,yd
3.79,-0.5,4.4875,1.648,1.0
3.8,-0.5,4.627,1.703,1.0
3.81,-0.5,4.7805,1.763,1.0
3.8200000000000003,-0.5,4.9495000000000005,1.83,1.0
3.83,-0.5,5.138,1.903,1.0
3.8400000000000003,-0.5,5.348,1.985,1.0
3.8499999999999996,-0.5,5.5845,2.0385,1.0
3.86,-0.5,5.852,2.0905,1.0
3.87,-0.5,6.1575,2.149,1.0
3.88,-0.5,6.5105,2.217,1.0
3.89,-0.5,6.922,2.295,1.0
3.9000000000000004,-0.5,7.409,2.387,1.0
3.91,-0.5,7.994,2.4965,1.0
3.92,-0.5,8.711,2.6295,1.0
3.9299999999999997,-0.5,9.6105,2.794,1.0
3.94,-0.5,10.7755,3.0035,1.0
3.95,-0.5,12.347,3.2805,1.0
3.96,-0.5,-0.5,3.6655,1.0
3.97,-0.5,-0.5,4.2405,1.0
3.98,-0.5,-0.5,5.207,1.0
3.99,-0.5,-0.5,7.2515,1.0
4.0,-0.5,-0.5,-0.5,1.0
4.01,-0.5,-0.5,-0.5,1.0
4.02,-0.5,-0.5,-0.5,1.0
4.03,-0.5,-0.5,-0.5,1.0
4.04,-0.5,-0.5,-0.5,1.0
4.05,-0.5,-0.5,-0.5,1.0
4.0600000000000005,-0.5,-0.5,-0.5,1.0
4.07,-0.5,-0.5,-0.5,1.0
4.08,-0.5,-0.5,-0.5,1.0
4.09,-0.5,-0.5,-0.5,1.0
4.1,-0.5,-0.5,-0.5,1.0
4.11,-0.5,-0.5,-0.5,1.0
4.12,-0.5,-0.5,-0.5,1.0
4.13,-0.5,-0.5,-0.5,1.0
4.140000000000001,-0.5,-0.5,-0.5,1.0
4.15,-0.5,-0.5,-0.5,1.0
4.16,-0.5,-0.5,-0.5,1.0
4.17,-0.5,-0.5,-0.5,1.0
4.18,-0.5,-0.5,-0.5,1.0
4.19,-0.5,-0.5,-0.5,1.0
4.2,-0.5,-0.5,-0.5,1.0
4.21,-0.5,-0.5,-0.5,1.0
4.220000000000001,-0.5,-0.5,-0.5,1.0
4.2299999999999995,-0.5,-0.5,-0.5,1.0
4.24,-0.5,-0.5,-0.5,1.0
4.25,-0.5,-0.5,-0.5,1.0
4.26,-0.5,-0.5,-0.5,1.0
4.27,-0.5,-0.5,-0.5,1.0
4.28,-0.5,-0.5,-0.5,1.0
4.29,-0.5,-0.5,-0.5,1.0
