coli,colx,coly,colz,colN,colG3,colG4
458,6,7,2,232.0,0.6564318434868102,0.41549967147035327
459,6,7,3,56.0,0.6364702725324317,0.3660949963106154
460,6,7,4,4.0,-1.0,-1.0
461,6,7,5,2.0,-1.0,-1.0
462,6,7,6,2.0,-1.0,-1.0
463,6,8,1,228.0,0.4901279801418521,0.6033673372610299
464,6,8,2,232.0,0.6352077785048129,0.44061482049414324
465,6,8,3,42.0,-1.0,-1.0
466,6,8,4,0.0,-1.0,-1.0
467,6,8,5,0.0,-1.0,-1.0
468,6,8,6,0.0,-1.0,-1.0
469,6,9,1,262.0,0.6476790745114807,0.44854130391972746
470,6,9,2,216.0,0.7488895262448435,0.3411495683351828
471,6,9,3,32.0,-1.0,-1.0
472,6,9,4,4.0,-1.0,-1.0
473,6,9,5,0.0,-1.0,-1.0
474,6,9,6,0.0,-1.0,-1.0
475,6,10,1,230.0,0.6869096060430864,0.4081453495807728
476,6,10,2,208.0,0.7168383033965829,0.33072087807707334
477,6,10,3,22.0,-1.0,-1.0
478,6,10,4,2.0,-1.0,-1.0
479,6,10,5,4.0,-1.0,-1.0
480,6,10,6,0.0,-1.0,-1.0
481,6,11,1,244.0,0.6238359855248231,0.47969526166404247
482,6,11,2,196.0,0.6827921898285665,0.3743324235498409
483,6,11,3,20.0,-1.0,-1.0
484,6,11,4,0.0,-1.0,-1.0
485,6,11,5,0.0,-1.0,-1.0
486,6,11,6,0.0,-1.0,-1.0
487,6,12,1,220.0,0.6438574238483111,0.3889506636112661
