r,tau,v
1.61,0.1,0.038821826825933325
1.62,0.1,0.03746147170476541
1.6300000000000001,0.1,0.03615126574029527
1.6400000000000001,0.1,0.034889279720371855
1.6500000000000001,0.1,0.03367364995668558
1.6600000000000001,0.1,0.032502579184816284
1.67,0.1,0.03137433675707196
1.68,0.1,0.0302872582386285
1.69,0.1,0.029239744510325745
1.7,0.1,0.028230260473034858
1.71,0.1,0.027257333439230935
1.72,0.1,0.026319551287743794
1.73,0.1,0.025415560447924763
1.74,0.1,0.024544063770029642
1.75,0.1,0.023703818329630602
1.76,0.1,0.02289363320557024
1.77,0.1,0.02211236726341042
1.78,0.1,0.021358926969628458
1.79,0.1,0.020632264255916712
1.8,0.1,0.019931374447943552
1.81,0.1,0.01925529426864296
1.82,0.1,0.018603099922640514
1.83,0.1,0.017973905265552585
1.84,0.1,0.017366860059635204
1.85,0.1,0.01678114831551534
1.86,0.1,0.016215986718442117
1.87,0.1,0.01567062313649874
1.8800000000000001,0.1,0.01514433520760731
1.8900000000000001,0.1,0.014636429001703387
1.9000000000000001,0.1,0.014146237754240844
1.9100000000000001,0.1,0.013673120667093643
1.92,0.1,0.013216461772934113
1.93,0.1,0.012775668859264016
1.94,0.1,0.012350172448416427
1.95,0.1,0.01193942483003867
1.96,0.1,0.0115428991427461
1.97,0.1,0.011160088501871482
1.98,0.1,0.010790505170407626
1.99,0.1,0.010433679770485857
2.0,0.1,0.010089160532896073
2.0100000000000002,0.1,0.00975651258235736
2.02,0.1,0.009435317256410159
2.0300000000000002,0.1,0.009125171455963706
2.04,0.1,0.008825687025682219
2.05,0.1,0.00853649016252293
2.06,0.1,0.008257220850867008
2.07,0.1,0.00798753232278914
2.08,0.1,0.007727090542128629
2.09,0.1,0.00747557371109449
2.1,0.1,0.007232671798247718
2.11,0.1,0.006998086086758757
2.12,0.1,0.006771528741932078
2.13,0.1,0.006552722397031274
2.14,0.1,0.006341399756512544
2.15,0.1,0.006137303215831482
2.16,0.1,0.0059401844970334025
2.17,0.1,0.0057498042993725995
2.18,0.1,0.0055659319642661536
2.19,0.1,0.0053883451539217244
2.2,0.1,0.005216829543018935
2.21,0.1,0.00505117852284749
2.22,0.1,0.004891192917350161
2.23,0.1,0.004736680710541666
2.24,0.1,0.004587456784799373
2.25,0.1,0.004443342669558123
2.2600000000000002,0.1,0.004304166299954632
2.27,0.1,0.004169761784998913
2.2800000000000002,0.1,0.0040399691848666056
2.29,0.1,0.003914634296925138
2.3000000000000003,0.1,0.0037936084501308726
2.31,0.1,0.0036767483074440365
2.32,0.1,0.0035639156759285123
2.33,0.1,0.003454977324231664
2.34,0.1,0.0033498048071268194
2.35,0.1,0.003248274296845191
2.36,0.1,0.003150266420912106
2.37,0.1,0.003055666106245076
2.38,0.1,0.0029643624292495503
2.39,0.1,0.002876248471675376
2.4,0.1,0.00279122118201516
2.41,0.1,0.0027091812422254174
2.42,0.1,0.0026300329395584055
2.43,0.1,0.0025536840433118806
2.44,0.1,0.002480045686306384
2.45,0.1,0.002409032250911107
2.46,0.1,0.002340561259440136
2.47,0.1,0.002274553268764801
2.48,0.1,0.002210931768974375
2.49,0.1,0.0021496230859397564
2.5,0.1,0.0020905562876311567
