r,P,v
0.53,0.6198604782540389,0.22277317738393235
0.54,0.6304361836917461,0.2245597003230643
0.55,0.6409336989863891,0.2262189750763479
0.56,0.651350162844736,0.22774965499653213
0.5700000000000001,0.6616826486717985,0.22915048055625825
0.58,0.6719281662251188,0.23042028376811954
0.59,0.6820836636385177,0.23155799272851427
0.6,0.6921460298380847,0.2325626362791925
0.61,0.7021120973717281,0.2334333487789551
0.62,0.711978645672637,0.23416937497637907
0.63,0.7217424047762121,0.23477007497267133
0.64,0.7314000595073078,0.23523492926182105
0.65,0.7409482541529089,0.23556354383309575
0.66,0.7503835976318225,0.2357556553186215
0.67,0.7597026691710317,0.23581113616632823
0.68,0.7689020244929099,0.23572999981584514
0.6900000000000001,0.7779782025143621,0.23551240585214128
0.7000000000000001,0.7869277325536342,0.23515866510872535
0.71,0.7957471420355067,0.23466924468912947
0.72,0.8044329646796724,0.23404477287223308
0.73,0.8129817491507991,0.233286043863751
0.74,0.8213900681429749,0.23239402235303272
0.75,0.8296545278637993,0.23136984783116354
0.76,0.8377717778769509,0.23021483862339487
0.77,0.8457385212555891,0.22893049558620318
0.78,0.8535515249917814,0.22751850541687144
0.79,0.8612076306016644,0.2259807435215305
0.8,0.8687037648598669,0.2243192763862128
0.81,0.8760369505922238,0.22253636339473
0.8200000000000001,0.8832043174517685,0.2206344580372402
0.8300000000000001,0.8902031126007085,0.2186162084543153
0.84,0.8970307112201672,0.21648445726325893
0.85,0.9036846267685363,0.21424224061640323
0.86,0.9101625209137487,0.21189278644523823
0.87,0.9164622130672043,0.20943951184946888
0.88,0.9225816894541697,0.20688601959647404
0.89,0.9285191116634753,0.20423609370407272
0.9,0.9342728246297125,0.20149369408790319
0.91,0.939841364012589,0.19866295026391764
0.92,0.9452234629521299,0.19574815410630075
0.93,0.9504180581930302,0.19275375167130618
0.9400000000000001,0.9554242955869271,0.18968433410774985
0.9500000000000001,0.9602415349968642,0.18654462768496657
0.96,0.9648693546441448,0.18333948297856525
0.97,0.9693075549526359,0.18007386326303726
0.98,0.9735561619577793,0.17675283216790366
0.99,0.9776154303580384,0.17338154066036945
1.0,0.9814858462959158,0.16996521342226997
1.01,0.9851681299578862,0.16650913469227502
1.02,0.9886632380839941,0.16301863364592226
1.03,0.9919723664714851,0.15949906938611932
1.04,0.995096952550192,0.15595581561545083
1.05,0.9980386780889142,0.15239424505925928
1.06,1.0007994720761115,0.14881971370533012
1.07,1.0033815137896176,0.1452375449224647
1.08,1.0057872360425235,0.14165301351678983
1.09,1.008019328558201,0.13807132978166578
1.1,1.0100807413885882,0.13449762359494186
1.11,1.0119746882506306,0.13093692861651574
1.12,1.0137046496143882,0.12739416663985104
1.1300000000000001,1.0152743753322855,0.12387413215358378
1.1400000000000001,1.0166878865611735,0.1203814771736639
1.1500000000000001,1.01794947668997,0.1169206964125433
1.16,1.0190637109529808,0.11349611285960956
1.17,1.0200354243846106,0.11011186385601578
1.18,1.0208697177558135,0.10677188775685299
1.19,1.0215719511280021,0.10347991128366195
1.2,1.0221477346695722,0.10023943767991067
1.21,1.02260291640574,0.09705373579062422
1.22,1.022943566614985,0.09392583019400681
1.23,1.0231759586434241,0.0908584925168926
1.24,1.0233065459895148,0.08785423406660148
1.25,1.0233419356026527,0.08491529990851904
1.26,1.023288857453234,0.08204366451110563
1.27,1.023154130553149,0.07924102906768488
1.28,1.0229446257367316,0.0765088205873054
1.29,1.022667225646589,0.07384819282519539
1.3,1.0223287824998857,0.07126002909742826
1.31,1.0219360743331094,0.06874494699480878
1.32,1.021495760525922,0.06630330497871281
1.33,1.0210143374873812,0.06393521080755739
1.34,1.020498095440031,0.061640531708009046
1.35,1.019953077252628,0.05941890617115919
1.36,1.0193850402537779,0.05726975722200383
1.37,1.018799421900904,0.05519230698183199
1.3800000000000001,1.0182013100811829,0.053185592318707925
1.3900000000000001,1.0175954186940812,0.05124848136199539
1.4000000000000001,1.0169860690068275,0.049379690643529615
1.41,1.0163771770978496,0.04757780262105213
1.42,1.0157722475122093,0.0458412833390028
1.43,1.0151743730648117,0.04416849998764717
1.44,1.014586240540691,0.0425577381333844
1.45,1.0140101418769822,0.04100721841034942
1.46,1.0134479902659301,0.039515112485251754
1.47,1.0129013405042104,0.03807955813289942
1.48,1.0123714128336092,0.036698673287905395
1.49,1.0118591194715287,0.03537056896767482
1.5,1.011365093018852,0.03409336099177822
1.51,1.0108897159500114,0.032865180452320134
1.52,1.0104331504411461,0.031684182917921196
1.53,1.0099953678597073,0.03054855637977837
1.54,1.0095761773270313,0.029456527971258823
1.55,1.0091752528638245,0.02840636951228381
1.56,1.008792158731282,0.027396401945989482
1.57,1.0084263726831004,0.02642499874784331
1.58,1.008077306943857,0.025490588396478046
1.59,1.0077443268181672,0.024591656001221283
1.6,1.0074267669161188,0.023726744183908136
1.61,1.0071239450466474,0.022894453312426857
1.62,1.0068351738857566,0.022093441180955003
1.6300000000000001,1.006559770569109,0.02132242222742678
1.6400000000000001,1.0062970643850635,0.020580166372895392
1.6500000000000001,1.0060464027651972,0.019865497560476446
1.6600000000000001,1.0058071557747283,0.019177292063931827
1.67,1.005578719307211,0.018514476627951547
1.68,1.005360517180757,0.01787602649417695
1.69,1.005152002320647,0.01726096335917496
1.7,1.0049526571981966,0.01666835330313411
1.71,1.0047619936802903,0.016097304721130454
1.72,1.0045795524236087,0.015546966282534784
1.73,1.0044049019301822,0.015016524938500612
1.74,1.0042376373620592,0.014505203992572869
1.75,1.0040773791978914,0.01401226124520772
1.76,1.0039237717972178,0.013536987219451596
